machine_id,time_stamp,failure_domain_1,failure_domain_2,cpu_num,mem_size,status
m_104,228292,4,4.0,96,100,USING
m_1044,567536,58,14.0,96,100,USING
m_1044,582679,58,14.0,96,100,USING
m_1047,213160,215,16.0,96,100,USING
m_1047,216156,215,16.0,96,100,USING
m_1047,259869,215,16.0,96,100,USING
m_1047,263189,215,16.0,96,100,USING
m_1047,565900,215,16.0,96,100,USING
m_1047,572339,215,16.0,96,100,USING
m_1047,597383,215,16.0,96,100,USING
m_1048,567309,284,9.0,96,100,USING
m_1048,574245,284,9.0,96,100,USING
m_1049,145693,7,7.0,96,100,USING
m_1049,147660,7,7.0,96,100,USING
m_1051,599509,260,11.0,96,100,USING
m_1052,455428,85,12.0,96,100,USING
m_1053,595583,25,3.0,96,100,USING
m_1055,573336,180,4.0,96,100,USING
m_1056,108629,73,19.0,96,100,USING
m_1056,112659,73,19.0,96,100,USING
m_1059,243600,53,15.0,96,100,USING
m_1059,251866,53,15.0,96,100,USING
m_1059,320881,53,15.0,96,100,USING
m_1059,477007,53,15.0,96,100,USING
m_1059,478653,53,15.0,96,100,USING
m_1059,596431,53,15.0,96,100,USING
m_1061,346939,182,5.0,96,100,USING
m_1061,348692,182,5.0,96,100,USING
m_1061,507899,182,5.0,96,100,USING
m_1061,513278,182,5.0,96,100,USING
m_1061,568089,182,5.0,96,100,USING
m_1061,573113,182,5.0,96,100,USING
m_1064,292072,29,9.0,96,100,USING
m_1064,293855,29,9.0,96,100,USING
m_1064,302506,29,9.0,96,100,USING
m_1064,331674,29,9.0,96,100,USING
m_1065,154597,275,16.0,96,100,USING
m_1065,158092,275,16.0,96,100,USING
m_1066,231877,242,5.0,96,100,USING
m_107,163640,7,7.0,96,100,USING
m_107,213219,7,7.0,96,100,USING
m_107,217129,7,7.0,96,100,USING
m_107,260445,7,7.0,96,100,USING
m_107,262318,7,7.0,96,100,USING
m_107,568314,7,7.0,96,100,USING
m_107,572810,7,7.0,96,100,USING
m_107,580837,7,7.0,96,100,USING
m_1070,240970,258,20.0,96,100,USING
m_1071,213782,4,4.0,96,100,USING
m_1071,217684,4,4.0,96,100,USING
m_1071,260983,4,4.0,96,100,USING
m_1071,262487,4,4.0,96,100,USING
m_1072,567171,25,5.0,96,100,USING
m_1072,576466,25,5.0,96,100,USING
m_1075,195984,288,10.0,96,100,USING
m_1075,197090,288,10.0,96,100,USING
m_1076,346466,277,7.0,96,100,USING
m_1078,245649,184,6.0,96,100,USING
m_1078,246817,184,6.0,96,100,USING
m_1078,318343,184,6.0,96,100,USING
m_1078,318680,184,6.0,96,100,USING
m_1078,326427,184,6.0,96,100,USING
m_1078,401670,184,6.0,96,100,USING
m_1078,406541,184,6.0,96,100,USING
m_1078,567074,184,6.0,96,100,USING
m_1078,573310,184,6.0,96,100,USING
m_1079,129534,87,14.0,96,100,USING
m_1079,131823,87,14.0,96,100,USING
m_1079,220910,87,14.0,96,100,USING
m_1080,317982,254,9.0,96,100,USING
m_1080,319556,254,9.0,96,100,USING
m_1081,135510,58,20.0,96,100,USING
m_1081,142480,58,20.0,96,100,USING
m_1081,146368,58,20.0,96,100,USING
m_1081,157959,58,20.0,96,100,USING
m_1081,162360,58,20.0,96,100,USING
m_1081,339013,58,20.0,96,100,USING
m_1081,342755,58,20.0,96,100,USING
m_1083,573214,49,11.0,96,100,USING
m_1083,581398,49,11.0,96,100,USING
m_1087,573398,130,8.0,96,100,USING
m_1087,575834,130,8.0,96,100,USING
m_1087,598451,130,8.0,96,100,USING
m_1088,250709,278,7.0,96,100,USING
m_1088,253914,278,7.0,96,100,USING
m_109,140648,291,2.0,96,100,USING
m_109,231534,291,2.0,96,100,USING
